id	category	title	clause_1	clause_2	clause_3
SOP-001	客服作业	星序客服工单领取规范	处理售后前通过授权工作台领取工单，核实领取成功后再进行审核，不以打开详情页代替领取。	领取冲突时刷新工单状态，由当前领取人继续处理；不得使用他人身份绕过负责人限制。	当前业务不支持客服自行覆盖他人领取关系，需明确能力边界，不向客户承诺已完成转派。
SOP-002	客服作业	星序客服审核前核对清单	审核前核对订单归属、支付状态、申请金额、原因及现有处理记录，区分客户陈述与系统已验证事实。	当前仅支持整单模拟退款，不以客服输入的金额或聊天计算结果替换订单实付金额。	资格或事实不足时在审核说明中记录真实依据，不自行虚构签收、验货或厂家鉴定结论。
SOP-003	客服作业	星序客服审核结论记录规范	审核说明应清楚描述核对事实与批准或拒绝的原因，不能为空，也不能仅填写无意义字符。	填写内容受当前 1–500 字提示和服务端校验限制，必要时精简事实，不在说明中放入客户密码或完整密钥。	提交审核前核对当前工单；已结束记录不能通过重复审核改写结论，不将系统拒绝操作说成已修改成功。
SOP-004	客服作业	星序客服退款执行核实规范	批准操作完成后核实售后为模拟退款完成、订单为已关闭，并检查对应处理记录。	遇到订单状态变化导致退款失败时，重新读取状态并核实原因，不人工伪造退款参考编号。	向客户说明结果时使用模拟退款表述，不将本地记录描述为银行或钱包真实到账。
SOP-005	客服作业	星序客服重复请求处理规范	相同订单重复提交时先查已有申请，不能为追求处理数量人为创建另一笔退款。	接口超时不代表事务必然失败，先查工单和订单结果再决定是否重试。	重试后应对照原业务标识确认结果，不能把重复返回误算为新完成一笔退款。
SOP-006	客服作业	星序客服事实不足处理规范	区分已验证订单事实、客户描述和缺失证据，不将客户单方描述直接写成核实结论。	补问只围绕影响判断的商品、发生阶段与诉求；不索取与当前事项无关的身份或支付秘密。	当前没有在线材料追补和实时人工转接接口，不能承诺聊天消息已自动追加到工单或已接通坐席。
SOP-007	客服作业	星序客服拒绝结果说明规范	解释已拒绝申请时引用实际审核说明，不额外编造欺诈、使用损坏或超过期限等拒绝原因。	对客户提出的新事实可说明需人工核实，但不得声称已有自动申诉、重开或二次审批功能。	当前同订单已有申请时沿用原记录查询，不指导客户通过重复提交绕过既有结果。
SOP-008	客服作业	星序客服数据最小化规范	读取与当前处理事项相关的必要订单和售后信息，不把其他客户的信息拼入当前答复。	将错误信息用于排障前先去除凭据、完整地址和联系方式，保留必要状态与操作标识。	内部操作规范可供授权人员使用，不通过客户知识检索或客户引用链接暴露内部资料。
SOP-009	政策管理	星序政策编写与能力核对规范	新政策应先明确客户或内部受众、适用场景与例外，标题采用稳定业务名称，不把测试随机标识作为正式标题。	涉及支付、退款、物流、换货和通知的承诺必须对照当前实现；未实现能力只描述边界或规划，不写成已提供服务。	同一事项优先修订已有政策，避免同时发布相互冲突或仅同义改写的多份规则。
SOP-010	政策管理	星序政策发布前检查规范	发布前核对正文完整性、条款冲突、受众、版本以及引用依据，明确本项目的模拟范围。	管理员发布后应检查客户可见性、原文链接和检索结果；内部 SOP 不应出现在客户页面。	编写草稿、生成 Markdown 或导入文件均不等于政策发布，只有成功完成发布流程才按当前有效规则使用。
SOP-011	政策管理	星序政策修订与替代规范	对同一规则变更使用修订流程形成新版本，保留原版本与历史记录，不直接通过新标题掩盖规则变更。	新版本发布后核实旧版被替代，当前客户检索不得混用同一政策的多个现行版本。	历史订单适用版本尚无完整自动选择能力，不能只因新版本发布就断言其追溯适用于全部历史订单。
SOP-012	政策管理	星序政策撤回与引用检查规范	发现规则错误或不应公开的已发布资料时通过撤回流程处理，保留历史，不只从前端隐藏标题。	撤回后核实当前客户列表、检索与原文访问均不再将其作为有效来源。	历史对话可能保留旧回答，向客户说明需重新检索；不声称撤回可以追溯清除已经发送的所有内容。
SOP-013	知识维护	星序知识条款标注规范	每条证据使用稳定文档编号和条款编号，并记录版本及内容哈希，标题供阅读，编号供追踪。	问题答案依赖多个条件时，标注所有必要证据；存在等价条款时记录替代证据，避免漏标导致错误低分。	评测问题与标准答案不得写入被检索语料，检索输入也不得夹带金标条款编号。
SOP-014	知识维护	星序知识评测结果使用规范	检索命中率说明证据召回能力，不等于回答正确率，更不等于售后任务成功率。	AI 辅助编写且已被开发者观察的题集作为开发集使用，不能重新命名为独立盲测集。	不同语料规模下的分数需同时报告语料和题集版本，新增数据后的分数不能与旧分数直接归因比较。
SOP-015	知识维护	星序知识无答案与越权验收规范	无答案场景应验证回答是否明确证据不足，而不是要求检索器完全返回空列表。	越权场景应分别验证检索过滤、工具权限和回答是否泄露，模型口头拒绝不能替代服务端隔离。	恶意指令场景保留在评测题中，不把要求泄密或忽略权限的文字加入正式政策成为执行指令。
SOP-016	知识维护	星序测试政策隔离规范	自动化发布测试只使用合成内容，并在结束时撤回本次创建的已发布政策，保留必要历史。	日常体验数据和验收数据应逐步隔离；测试进程中断后按精确标识和内容核对遗留，不批量删除正常政策。	评测报告应注明是否使用固定回复引擎、真实模型和真实本地业务接口，不混淆三类证据。
