slug|category|name|price|stock|weight_g|material|specification|description|care|image_subject
ivory-mug|杯壶饮具|晨白 陶瓷马克杯|59.00|180|320|陶瓷|350 mL，暖白色，单只|圆润大把手适合居家咖啡与热饮，直身杯口便于日常清洗。|避免骤冷骤热；使用软海绵清洗。|one warm ivory ceramic coffee mug with rounded handle, straight slightly tapered walls, no saucer
glass-tumbler|杯壶饮具|澄光 直身玻璃杯|29.00|240|180|玻璃|300 mL，透明，单只|通透杯身便于观察饮品，适合餐桌饮水与果汁。|不装沸水，不直接加热。|one clear straight sided drinking glass tumbler without handle
insulated-bottle|杯壶饮具|远山 不锈钢保温杯|129.00|120|290|不锈钢、PP|500 mL，雾绿色，旋盖|旋盖杯身方便通勤携带，窄口设计便于小口饮水。|手洗并充分晾干，勿放入微波炉。|one sage green stainless steel insulated bottle with screw cap, slim shape
tea-pot|杯壶饮具|茶间 玻璃滤茶壶|89.00|90|430|玻璃、不锈钢|600 mL，透明壶身，可取出滤网|可拆卸滤网用于分离茶叶与茶汤，适合桌面泡茶。|不可明火加热；玻璃部件避免磕碰。|one transparent glass teapot with cylindrical stainless steel infuser and clear handle
travel-cup|杯壶饮具|随行 翻盖随手杯|79.00|160|240|不锈钢、PP|380 mL，沙米色，翻盖|杯盖翻口方便通勤饮用，适合随身包侧袋收纳。|直立携带；扣紧杯盖后使用。|one sand beige travel coffee tumbler with black flip lid, short cylindrical body
cold-carafe|杯壶饮具|清夏 冷水壶|69.00|85|520|玻璃、竹|1.2 L，透明壶身，竹盖|带把手冷水壶适合冷泡茶与家庭餐桌分饮。|仅用于冷饮和常温饮品，不用于加热。|one clear glass water pitcher with handle and round bamboo lid
espresso-cup|杯壶饮具|浓时 浓缩咖啡杯碟|49.00|130|260|陶瓷|90 mL，炭灰色，杯碟一套|小容量杯配同色碟，适合浓缩咖啡与少量热饮。|手洗，杯碟分开晾干。|one charcoal grey small espresso ceramic cup on matching saucer
water-bottle|杯壶饮具|轻途 运动水瓶|45.00|210|140|PP|700 mL，半透明烟灰色，提环盖|轻量提环适合步行与短途出游，宽口便于清洗。|仅装常温饮水，不装碳酸饮料。|one translucent smoky grey plastic sports water bottle with loop screw cap, no printed markings
tea-strainer|杯壶饮具|叶语 手柄滤茶器|25.00|260|60|不锈钢|直径 7 cm，长柄，单件|细网滤器搭放在杯口上，用于过滤散茶。|用后及时冲洗，勿用尖锐物刮网。|one stainless steel fine mesh tea strainer with long slim handle
cup-brush|杯壶饮具|净杯 长柄杯刷|19.00|300|70|竹、尼龙|全长 28 cm，圆柱刷头|长柄便于触及杯底，适合直身水杯与广口瓶。|用后悬挂晾干，避免长时间浸泡竹柄。|one bamboo handled bottle cleaning brush with cream cylindrical bristles
rice-bowl|餐厨器皿|素日 陶瓷饭碗|32.00|220|280|陶瓷|直径 12 cm，米白色，单只|小饭碗适合日常主食，浅釉表面容易清洗。|避免钢丝球清洁与强烈温差。|one simple off white ceramic rice bowl
dinner-plate|餐厨器皿|月白 平口餐盘|45.00|150|480|陶瓷|直径 25 cm，米白色，单只|平口大盘适合主菜与意面摆盘，边沿留有握持空间。|避免跌落，叠放时轻拿轻放。|one large flat ivory ceramic dinner plate with subtle raised rim
salad-bowl|餐厨器皿|青岚 深口沙拉碗|75.00|110|620|陶瓷|直径 20 cm，鼠尾草绿，单只|深碗容纳蔬菜沙拉与拌面，适合一人份轻食。|用软布清洗，避免金属器具重划。|one deep sage green ceramic salad bowl
chopping-board|餐厨器皿|木作 榉木切菜板|99.00|75|850|榉木|32 × 22 × 2 cm，原木色|厚实板面适合处理蔬果与面包，两面可分区使用。|手洗后立放晾干，不可洗碗机清洗。|one rectangular beech wood chopping board with rounded corners and handle hole
silicone-spatula|餐厨器皿|柔焙 硅胶刮刀|29.00|250|80|硅胶、木|全长 28 cm，奶油色刮头|柔软刮头适合搅拌面糊与刮取碗边残留。|不直接接触火焰；木柄避免浸泡。|one cream silicone baking spatula with natural wooden handle
food-container|餐厨器皿|鲜存 玻璃保鲜盒|49.00|170|510|玻璃、PP|800 mL，长方形，四边扣盖|透明盒身便于识别食物，适合餐食分装。|加热前取下盒盖；避免骤冷骤热。|one rectangular clear glass food storage container with translucent snap lock lid
cutlery-set|餐厨器皿|简食 不锈钢餐具套装|59.00|135|190|不锈钢|餐叉、餐勺、餐刀各一件|三件基础餐具适合日常简餐，拉丝表面触感细腻。|用后清洗擦干，不用于切骨。|one three piece brushed stainless steel cutlery set, fork spoon and rounded table knife aligned
colander|餐厨器皿|沥净 双耳沥水篮|39.00|140|240|不锈钢|直径 22 cm，双耳|细密孔洞便于蔬菜冲洗与面条沥水，双耳方便握持。|使用后冲净残渣并晾干。|one stainless steel perforated kitchen colander with two side handles
oil-bottle|餐厨器皿|滴澄 玻璃油壶|35.00|165|300|玻璃、不锈钢|300 mL，透明，细嘴|细嘴便于控制倒油量，透明瓶身方便观察余量。|定期拆洗出油嘴，洗净晾干再装油。|one clear glass olive oil dispenser bottle with slim stainless pouring spout, no label
kitchen-scale|餐厨器皿|轻衡 厨房电子秤|89.00|100|310|ABS、不锈钢|量程 5 kg，分度 1 g，银灰色|平整称台适合烘焙原料称量，合成规格用于购物体验。|勿浸水，不超过标称量程。|one slim digital kitchen scale with brushed steel rectangular platform and unlit small display
storage-box|收纳整理|叠序 带盖收纳盒|49.00|160|450|PP|约 12 L，米白色，带盖|封闭盒体用于衣柜与书架分类，平盖便于堆放。|避免重压，远离热源。|one ivory opaque rectangular plastic storage box with fitted lid
woven-basket|收纳整理|藤间 编织收纳篮|79.00|95|390|纸绳、铁架|30 × 22 × 18 cm，浅棕色|编织纹理适合客厅小物收纳，侧边握口方便搬动。|保持干燥，局部擦拭。|one natural tan woven rectangular storage basket with cutout side handles
drawer-dividers|收纳整理|格序 抽屉分隔板|35.00|180|200|竹|4 片装，单片长 32 cm|分隔板用于整理浅抽屉，将文具与小物分区摆放。|购买前核对抽屉内径；干布清洁。|four simple straight bamboo drawer divider slats neatly arranged
shoe-box|收纳整理|步藏 透明鞋盒|39.00|200|520|PP|34 × 24 × 14 cm，前开门|前开门便于取鞋，透明门板方便寻找日常鞋履。|勿用作座凳，避免重物堆压。|one translucent shoe storage box with clear front drop door, empty
jewelry-tray|收纳整理|拾光 绒面首饰盘|45.00|115|180|纤维板、绒布|20 × 15 cm，浅灰色，分格|柔软分格用于放置戒指、耳钉等小饰品。|避免沾水，使用软刷除尘。|one pale grey velvet jewelry organizer tray with empty compartments and ring slots
cable-box|收纳整理|藏线 桌面理线盒|59.00|145|380|ABS|30 × 12 × 11 cm，雾白色|侧边开口用于线材进出，适合整理桌面线缆。|保持开口通风，不覆盖高发热设备。|one white rectangular desktop cable management box with side cable slots and lid
laundry-basket|收纳整理|轻容 折叠洗衣篮|69.00|90|420|棉麻混纺、金属框|约 45 L，原麻色，双提手|柔性篮体收纳待洗衣物，不使用时可折叠节省空间。|只收纳干燥衣物，局部清洁。|one natural linen fabric laundry hamper with two handles and open oval top
desk-organizer|收纳整理|桌序 木质桌面收纳架|89.00|80|680|竹|24 × 12 × 15 cm，多分格|不同高度分格用于笔、便签与小工具集中收纳。|干布擦拭，不长期暴晒。|one bamboo desktop organizer with several empty pen and note compartments
vacuum-bags|收纳整理|换季 衣物压缩袋|39.00|210|160|PA、PE|60 × 80 cm，2 只装，不含气泵|用于换季衣物压缩收纳，透明袋体便于识别内容。|避免尖锐物，不用于食品。|two folded transparent vacuum clothes storage bags with small grey valves, empty
wall-hooks|收纳整理|轻挂 木质壁挂钩|49.00|150|220|榉木、金属|三钩一排，长 24 cm|圆润挂点用于悬挂轻便包袋或围巾。|需螺钉安装，按墙体选择固定件。|one natural beech wood wall rack with three rounded wooden hooks
hand-towel|家纺织物|云棉 纯棉面巾|29.00|260|120|棉|34 × 76 cm，奶油白，单条|柔软毛圈用于日常擦手擦脸，尺寸适合小浴室。|深浅色分洗，充分晾干。|one neatly folded cream white cotton terry hand towel
bath-towel|家纺织物|沐云 纯棉浴巾|89.00|130|480|棉|70 × 140 cm，暖灰色，单条|大尺寸毛圈浴巾适合沐浴后包裹与擦拭。|首次使用前清洗，避免柔顺剂过量。|one folded warm grey large cotton terry bath towel
cushion-cover|家纺织物|织间 亚麻靠垫套|59.00|150|180|亚麻、棉|45 × 45 cm，燕麦色，不含芯|素色织纹适合沙发与床头，隐藏拉链便于拆洗。|轻柔冷水洗涤，自然晾干。|one oatmeal textured linen cushion cover displayed flat with gentle folds, no cushion filling
throw-blanket|家纺织物|午后 针织盖毯|159.00|85|650|棉、腈纶|130 × 170 cm，米灰色|轻软针织毯用于沙发休憩与空调房盖腿。|低温轻柔洗涤，平铺晾干。|one folded light greige knitted throw blanket with soft tassel fringe
bed-sheet|家纺织物|素眠 纯棉床单|139.00|70|710|棉|200 × 230 cm，浅灰色，单件|平整纯色床单适合简洁卧室，四周包边。|洗前检查尺寸，深浅色分洗。|one neatly folded pale grey cotton flat bed sheet, plain fabric
pillowcases|家纺织物|安枕 纯棉枕套|69.00|120|210|棉|48 × 74 cm，雾蓝色，2 只装|双只枕套便于轮换，信封式开口减少硬件触感。|与相近颜色织物同洗。|two folded dusty blue cotton pillowcases stacked, envelope style
