id	category	title	clause_1	clause_2	clause_3
POL-001	退货	星序商城整单售后申请范围指引	当前星序体验环境仅支持整单售后申请，不支持选择订单中的单个商品退款。	申请预览展示整单实付金额；金额由业务服务计算，不能由用户输入或模型修改。	一张订单已有售后申请时，应查询原申请进度，不能重复创建。
POL-002	退货	星序商城售后预览与确认指引	生成售后预览不会提交申请，也不会产生退款。	客户须在页面核对订单、金额、原因并点击确认；聊天中回复确认不能替代页面操作。	预览有效期为十分钟，过期后重新生成，不能复用旧确认信息。
POL-003	退货	星序商城耳机拆封与使用情况指引	咨询拆封耳机能否退货时，应区分仅拆外包装、已佩戴使用和商品故障。	现有材料不足以仅凭拆封两个字自动判定退货资格，应补问使用情况和售后原因。	可以提交说明供客服审核，生成预览或提交申请都不代表审核通过。
POL-004	退货	星序商城包装配件缺失指引	客户反映包装、说明书或配件缺失时，应区分到货即缺失与使用后遗失。	记录缺失物品及发生阶段，客服核实后决定处理方式，不预先承诺全额退款。	不要要求客户在聊天中上传包含收件地址的完整快递面单。
POL-005	退货	星序商城尺寸或规格不合适指引	申请原因可以说明尺寸、接口或规格不合适，并关联本人订单。	不同规格的替换属于新的选购或人工处理事项，当前不会自动创建换货单。	不能用建议购买的另一件商品价格替代原订单实付金额。
POL-006	退货	星序商城到货破损处理指引	到货破损需要说明商品破损位置、包装情况及发现时间。	客服审核商品情况后决定是否受理；助手不能仅凭描述宣称已批准退款。	涉及电池膨胀或发热的异常商品应先停止使用并转人工处理。
POL-007	退货	星序商城错发商品处理指引	收到的型号或数量与订单不符时，先核对订单商品明细。	记录实际收到的型号或缺少数量，不修改原始订单记录来消除差异。	当前系统没有自动补发接口，补发需求交由客服核实。
POL-008	退货	星序商城退货期限不明确指引	退货期限必须依据适用的已发布条款和订单时间判断。	当前草案未设定统一无理由退货天数，缺少适用条款时不得自行给出七天或三十天承诺。	对于期限边界和特殊商品，说明证据不足并交由客服确认。
POL-009	退款	星序商城退款状态区分指引	售后申请已提交、客服受理和退款完成是不同阶段。	只有业务记录显示已模拟退款，才能告知模拟退款完成。	聊天中的退款承诺和工具开始执行事件都不是到账证明。
POL-010	退款	星序商城模拟退款说明指引	星序当前为独立学习环境，支付与退款均为本地模拟交易。	模拟退款更新系统状态，不向银行卡、支付钱包或其他外部账户转账。	不能把模拟退款记录解释为真实资金已到账。
POL-011	退款	星序商城退款金额核对指引	整单模拟退款金额以订单实际支付金额为准。	商品标价总和可能与实付金额不同，不能自行按标价累计退款。	金额不一致时停止自动处理并核实业务记录。
POL-012	退款	星序商城重复申请与结果核实指引	相同操作重试应返回原处理结果，不产生第二笔有效退款。	提交后连接中断时先查询原操作状态，不立即创建新的售后申请。	操作结果尚未核实时应明确说明待核实，而非宣称失败或成功。
POL-013	订单	星序商城订单中文状态指引	订单状态零为待付款，一为待发货，二为已发货，三为已完成，四为已关闭。	已关闭不等于已收货，也不能单凭状态推断关闭原因。	遇到未知状态应说明无法解释并核实记录。
POL-014	订单	星序商城订单归属指引	助手只能查询当前登录客户自己的订单及售后记录。	用户提供其他人的订单号不构成查询授权，也不能通过更换用户编号绕过限制。	无法访问时不暴露该订单的金额、商品或收件信息。
POL-015	订单	星序商城订单列表与详情指引	询问购买过什么时，先查询本人订单列表，再按需要读取明细。	已关闭订单应与履约完成订单区分，不能将全部记录都称作已收货商品。	列表摘要不含商品明细时，应补查详情而非猜测商品名称。
